original_title,production_companies,genres,runtime,vote_average,vote_count
The Three Musketeers,Metro-Goldwyn-Mayer (MGM),Romance,125.0,6.2,21.0
Unfaithfully Yours,Twentieth Century Fox Film Corporation,Comedy,105.0,7.8,22.0
Yellow Sky,Twentieth Century Fox Film Corporation,Crime,98.0,6.7,22.0
The Barkleys of Broadway,Metro-Goldwyn-Mayer (MGM),Comedy,109.0,7.4,11.0
In the Good Old Summertime,Metro-Goldwyn-Mayer (MGM),Comedy,102.0,6.7,10.0
A Letter to Three Wives,Twentieth Century Fox Film Corporation,Drama,103.0,6.8,26.0
The Secret Garden,Metro-Goldwyn-Mayer (MGM),Drama,92.0,6.7,3.0
The Story of Seabiscuit,Warner Bros.,Drama,93.0,4.5,3.0
Annie Get Your Gun,Metro-Goldwyn-Mayer (MGM),Action,107.0,7.3,22.0
The Gunfighter,Twentieth Century Fox Film Corporation,Western,85.0,6.7,30.0
King Solomon's Mines,Metro-Goldwyn-Mayer (MGM),Action,103.0,6.3,23.0
Summer Stock,Metro-Goldwyn-Mayer (MGM),Music,108.0,6.5,14.0
Carbine Williams,Metro-Goldwyn-Mayer (MGM),Crime,92.0,6.6,8.0
Carrie,Paramount Pictures,Drama,118.0,5.3,8.0
Clash by Night,RKO Radio Pictures,Drama,105.0,6.8,18.0
The Prisoner of Zenda,Metro-Goldwyn-Mayer (MGM),Adventure,96.0,6.9,10.0
Son of Paleface,Paramount Pictures,Comedy,95.0,6.2,13.0
Abbott and Costello Meet Dr. Jekyll and Mr. Hyde,Universal International Pictures (UI),Comedy,76.0,6.7,23.0
Gun Fury,Columbia Pictures Corporation,Crime,83.0,5.5,11.0
Man on a Tightrope,Twentieth Century Fox Film Corporation,Thriller,105.0,5.3,6.0
The Titfield Thunderbolt,Michael Balcon Productions,Comedy,84.0,7.3,18.0
The Belles of St. Trinian's,[],Comedy,91.0,6.4,17.0
It Should Happen to You,Columbia Pictures Corporation,Comedy,86.0,7.7,7.0
"The Long, Long Trailer",Metro-Goldwyn-Mayer (MGM),Comedy,96.0,7.3,9.0
Magnificent Obsession,Universal International Pictures (UI),Drama,108.0,6.9,27.0
Salt of the Earth,"Intl Union of Mine, Mill & Smelter Workers",History,94.0,7.3,17.0
A Star Is Born,Transcona Enterprises,Drama,181.0,7.1,56.0
Three Coins in the Fountain,Twentieth Century Fox Film Corporation,Drama,102.0,6.2,13.0
The Wild One,Stanley Kramer Productions,Drama,79.0,6.9,59.0
The Cobweb,Metro-Goldwyn-Mayer (MGM),Drama,134.0,4.3,6.0
It's Always Fair Weather,Metro-Goldwyn-Mayer (MGM),Music,102.0,8.7,6.0
Mr. Arkadin,Bavaria Film,Crime,93.0,6.8,28.0
The Seven Little Foys,Paramount Pictures,Comedy,93.0,6.3,3.0
Anything Goes,[],Comedy,106.0,7.5,4.0
Carousel,Twentieth Century Fox Film Corporation,Music,128.0,5.5,23.0
Barnacle Bill,Ealing Studios,Comedy,87.0,5.3,4.0
Chase a Crooked Shadow,Associated Dragon,Mystery,87.0,7.1,7.0
Fiend Without a Face,Amalgamated Productions,Horror,74.0,5.9,19.0
Jailhouse Rock,Metro-Goldwyn-Mayer (MGM),Drama,96.0,5.8,30.0
Man of a Thousand Faces,Universal International Pictures (UI),Drama,122.0,6.2,6.0
The Spirit of St. Louis,Warner Bros.,Action,135.0,6.4,36.0
The Undead,Roger Corman Productions,Fantasy,71.0,4.4,7.0
Zero Hour!,Carmel Productions,Drama,81.0,6.7,12.0
Carve Her Name with Pride,Angel Productions,Drama,119.0,5.4,9.0
Corridors of Blood,Amalgamated Productions,Drama,86.0,6.3,9.0
The Last Hurrah,Columbia Pictures,Drama,121.0,7.5,9.0
Machine-Gun Kelly,American International Pictures (AIP),Crime,80.0,6.6,8.0
Teacher's Pet,Perlsea Company,Comedy,120.0,6.5,26.0
Torpedo Run,Metro-Goldwyn-Mayer (MGM),War,98.0,5.8,4.0
The Vikings,Bavaria Film,Action,111.0,6.7,53.0
Al Capone,Allied Artists Pictures,Action,104.0,6.9,7.0
Invisible Invaders,United Artists,Horror,67.0,4.9,14.0
North West Frontier,The Rank Organisation,Drama,129.0,7.1,12.0
The Nun's Story,Warner Bros.,Drama,149.0,7.4,46.0
The Young Philadelphians,Warner Bros.,Drama,136.0,7.1,8.0
The Leech Woman,Universal International Pictures (UI),Horror,77.0,4.8,8.0
The Sundowners,Warner Bros.,Drama,133.0,6.8,12.0
Sunrise at Campobello,Dore Schary Productions,Drama,144.0,6.3,2.0
Bachelor in Paradise,Metro-Goldwyn-Mayer (MGM),Comedy,109.0,7.2,3.0
The Deadly Companions,Carousel Productions (II),Action,93.0,4.8,14.0
The Four Horsemen of the Apocalypse,Metro-Goldwyn-Mayer (MGM),Drama,153.0,5.8,4.0
The Intruder,Roger Corman Productions,Drama,84.0,6.4,15.0
Murder She Said,Metro-Goldwyn-Mayer (MGM),Drama,87.0,7.0,31.0
Paris Blues,Pennebaker Productions,Romance,98.0,5.1,10.0
Taste of Fear,Hammer Film Productions,Horror,81.0,6.7,15.0
Advise & Consent,Otto Preminger Films,Drama,139.0,7.5,27.0
David and Lisa,Vision Associates Productions,Romance,95.0,6.7,12.0
Eegah,Fairway International Pictures,Horror,90.0,2.8,18.0
The Loneliness of the Long Distance Runner,Woodfall Film Productions,Drama,104.0,7.5,39.0
The Music Man,Warner Bros.,Comedy,151.0,6.7,47.0
Mutiny on the Bounty,Metro-Goldwyn-Mayer (MGM),Adventure,178.0,6.5,68.0
La rivière du hibou,[],Drama,28.0,8.5,19.0
The Wonderful World of the Brothers Grimm,Bavaria Film,Fantasy,135.0,5.8,5.0
The Cardinal,Otto Preminger Films,Drama,175.0,6.6,9.0
The Incredibly Strange Creatures Who Stopped Living and Became Mixed-Up Zombies!!?,Morgan-Steckler Productions,Horror,82.0,2.7,15.0
The Kiss of the Vampire,Hammer Film Productions,Horror,88.0,6.7,20.0
Love with the Proper Stranger,Paramount Pictures,Comedy,102.0,6.2,17.0
McLintock!,United Artists,Western,127.0,6.2,54.0
Murder at the Gallop,Metro-Goldwyn-Mayer (MGM),Drama,81.0,6.3,23.0
A New Kind of Love,Paramount Pictures,Comedy,110.0,6.5,2.0
The Prize,Roxbury Productions,Drama,134.0,6.4,17.0
Sunday in New York,Seven Arts Productions,Romance,105.0,5.3,10.0
36 Hours,Cherokee Productions,Drama,115.0,6.9,19.0
Becket,Paramount Pictures,Drama,148.0,7.2,45.0
Behold a Pale Horse,Columbia Pictures Corporation,Drama,118.0,5.0,4.0
The Best Man,United Artists,Comedy,102.0,6.6,7.0
"Hush... Hush, Sweet Charlotte",Twentieth Century Fox Film Corporation,Crime,133.0,7.0,54.0
The Killers,Revue Studios,Crime,93.0,6.5,40.0
The Naked Kiss,Leon Fromkess-Sam Firks Productions,Crime,93.0,6.7,41.0
Robin and the 7 Hoods,Warner Bros.,Music,123.0,6.2,23.0
Robinson Crusoe on Mars,Paramount Pictures,Drama,110.0,6.5,44.0
Spider Baby,Lasky-Monka,Comedy,81.0,7.1,41.0
The Visit,Twentieth Century Fox Film Corporation,Drama,100.0,6.6,8.0
What a Way to Go!,APJAC Productions,Comedy,111.0,7.2,16.0
A Charlie Brown Christmas,Warner Bros. Home Video,Animation,25.0,7.5,156.0
Dracula: Prince of Darkness,Seven Arts Productions,Horror,90.0,6.1,54.0
The Hallelujah Trail,The Mirisch Corporation,Western,165.0,6.1,24.0
The Heroes of Telemark,Benton Film Productions,War,131.0,5.9,29.0
The Hill,Metro-Goldwyn-Mayer (MGM),Drama,123.0,7.6,50.0
In Harm's Way,Paramount Pictures,War,165.0,6.5,25.0
The Loved One,Filmways Pictures,Comedy,122.0,6.7,13.0
Major Dundee,Columbia Pictures Corporation,War,123.0,6.2,41.0
Operation Crossbow,Metro-Goldwyn-Mayer (MGM),Action,115.0,5.9,20.0
Ride in the Whirlwind,Proteus Films,Western,82.0,6.0,20.0
A Thousand Clowns,Harrell,Comedy,118.0,6.8,9.0
The Train,Les Productions Artistes Associés,Action,133.0,7.2,74.0
Batman,Twentieth Century Fox Film Corporation,Family,105.0,6.1,209.0
Grand Prix,Cherokee Productions,Action,176.0,6.3,39.0
Khartoum,Julian Blaustein Productions Ltd.,History,134.0,5.8,18.0
Manos: The Hands of Fate,Norm-Iris,Horror,74.0,2.0,56.0
Dont Look Back,Docurama,Documentary,96.0,7.5,35.0
The Incident,Moned Associated,Thriller,107.0,5.9,8.0
Point Blank,Metro-Goldwyn-Mayer (MGM),Action,92.0,7.1,97.0
The Shooting,Proteus Films,Western,82.0,6.1,29.0
The St. Valentine's Day Massacre,Los Altos Productions,Drama,100.0,5.8,19.0
Titicut Follies,[],Documentary,84.0,7.3,23.0
Tony Rome,Arcola Pictures,Crime,110.0,6.2,13.0
Two for the Road,Twentieth Century Fox Film Corporation,Comedy,111.0,7.2,51.0
Up the Down Staircase,Park Place Production,Drama,124.0,6.2,5.0
The War Wagon,Universal Pictures,Western,96.0,6.6,36.0
Dracula Has Risen from the Grave,Hammer Film Productions,Horror,92.0,6.8,39.0
Head,Raybert Productions,Comedy,86.0,6.4,22.0
The Heart Is a Lonely Hunter,Warner Brothers/Seven Arts,Drama,123.0,7.2,14.0
"I Love You, Alice B. Toklas!",Warner Brothers/Seven Arts,Comedy,92.0,5.8,13.0
Petulia,Warner Brothers/Seven Arts,Romance,105.0,6.0,6.0
The Subject Was Roses,Metro-Goldwyn-Mayer (MGM),Drama,107.0,7.0,3.0
Sympathy for the Devil,Cupid Productions,Documentary,115.0,6.5,12.0
"Yours, Mine and Ours",Desilu Productions,Comedy,111.0,6.2,28.0
Alice's Restaurant,Elkins Entertainment,Drama,111.0,5.5,22.0
Camille 2000,[],Drama,130.0,6.4,5.0
Colossus: The Forbin Project,Universal Pictures,Science Fiction,100.0,7.1,50.0
"Goodbye, Mr. Chips",Metro-Goldwyn-Mayer (MGM),Drama,155.0,7.1,10.0
Doppelgänger,Century 21 Television,Science Fiction,101.0,6.3,36.0
Last Summer,Alsid Productions,Drama,97.0,5.0,8.0
The Magic Christian,Commonwealth United Entertainment,Comedy,92.0,6.0,13.0
Marlowe,Cherokee Productions,Crime,95.0,6.2,26.0
More,Les Films du Losange,Romance,117.0,6.5,11.0
The Reivers,Solar Productions,Comedy,106.0,5.9,17.0
Taste the Blood of Dracula,Hammer Film Productions,Horror,95.0,5.9,42.0
...tick... tick... tick...,Metro-Goldwyn-Mayer (MGM),Drama,100.0,6.2,7.0
Brewster McCloud,Lions Gate Films,Fantasy,105.0,6.7,15.0
Dirty Dingus Magee,Metro-Goldwyn-Mayer (MGM),Comedy,91.0,5.8,4.0
"Hi, Mom!",West End Productions,Comedy,87.0,5.8,20.0
House of Dark Shadows,Metro-Goldwyn-Mayer (MGM),Drama,97.0,6.7,13.0
The Landlord,The Mirisch Corporation,Drama,112.0,5.5,9.0
On a Clear Day You Can See Forever,Paramount Pictures,Action,129.0,6.0,12.0
Performance,Goodtimes Enterprises,Crime,101.0,6.9,46.0
Zabriskie Point,Metro-Goldwyn-Mayer (MGM),Drama,113.0,7.1,78.0
The Beguiled,Malpaso Productions,Drama,105.0,7.0,86.0
The Devils,Russo Productions,Drama,111.0,7.4,90.0
Duel,Universal Television,TV Movie,74.0,7.2,374.0
Evil Roy Slade,Universal TV,TV Movie,97.0,5.9,9.0
The Go-Between,EMI Films,Drama,118.0,6.2,24.0
Johnny Got His Gun,World Entertainment,War,111.0,7.2,65.0
Lawman,Scimitar Films,Action,99.0,6.5,24.0
Let's Scare Jessica to Death,Paramount Pictures,Horror,89.0,6.6,51.0
A New Leaf,Paramount Pictures,Comedy,102.0,7.1,29.0
Nicholas and Alexandra,Columbia Pictures,Romance,189.0,7.0,23.0
Von Richthofen and Brown,[],War,97.0,6.5,4.0
Scars of Dracula,Hammer Film Productions,Horror,96.0,5.9,31.0
Support Your Local Gunfighter,[],Action,91.0,6.6,21.0
Sweet Sweetback's Baadasssss Song,Yeah,Action,97.0,4.7,19.0
Blood of Ghastly Horror,Independent International Pictures (I-I),Horror,85.0,1.5,4.0
Brother John,Columbia Pictures Corporation,Drama,95.0,6.2,5.0
Dr. Phibes Rises Again,American International Pictures (AIP),Comedy,89.0,6.2,37.0
Dracula A.D. 1972,Hammer Film Productions,Horror,96.0,6.0,30.0
Get to Know Your Rabbit,Acrobatic Motion Works West,Comedy,91.0,7.0,3.0
Lady Sings the Blues,Paramount Pictures,Romance,144.0,7.2,16.0
Payday,[],Drama,103.0,5.6,4.0
Slither,Metro-Goldwyn-Mayer (MGM),Thriller,97.0,4.2,3.0
Charley Varrick,Universal Pictures,Action,111.0,7.0,57.0
Dark Star,University of Southern California,Comedy,83.0,6.0,120.0
A Delicate Balance,[],Drama,133.0,6.0,1.0
Bram Stoker's Dracula,Latglen Ltd.,Horror,100.0,6.4,13.0
Emperor of the North Pole,Twentieth Century Fox Film Corporation,Adventure,118.0,6.8,30.0
Executive Action,Wakeford / Orloff,Action,91.0,6.2,11.0
The Glass Menagerie,[],Drama,100.0,6.6,5.0
Invasion of the Bee Girls,Sequoia Pictures,Horror,85.0,4.0,15.0
Lemora: A Child's Tale of the Supernatural,Blackfern,Horror,85.0,6.4,15.0
Phase IV,Paramount Pictures,Thriller,86.0,5.9,48.0
Save the Tiger,Paramount Pictures,Drama,100.0,7.1,18.0
Scarecrow,Warner Bros.,Drama,112.0,6.8,59.0
Sisters,Pressman-Williams,Horror,93.0,6.8,77.0
The Spook Who Sat by the Door,Bokari,Action,102.0,7.0,4.0
Theatre of Blood,Cineman Productions,Comedy,104.0,6.7,43.0
Walking Tall,Bing Crosby Productions,Action,125.0,6.5,32.0
Butley,[],Drama,127.0,7.3,3.0
California Split,Columbia Pictures Corporation,Comedy,108.0,6.5,26.0
The Cars That Ate Paris,Royce Smeal Film Productions,Comedy,87.0,5.1,19.0
Conrack,Twentieth Century Fox Film Corporation,Drama,106.0,7.1,12.0
Flesh for Frankenstein,Braunsberg Productions,Horror,95.0,5.4,28.0
Général Idi Amin Dada: Autoportrait,[],Documentary,90.0,6.8,6.0
Gone in 60 Seconds,Halicki Productions,Action,105.0,6.5,40.0
The Groove Tube,Syn-Frank Enterprises,Comedy,75.0,5.3,3.0
Harry and Tonto,Twentieth Century Fox Film Corporation,Drama,115.0,7.1,26.0
Hearts and Minds,BBS Productions,Documentary,112.0,7.8,25.0
The Holy Mountain,Producciones Zohar,Drama,114.0,7.7,143.0
The Little Prince,Paramount Pictures,Science Fiction,88.0,6.0,26.0
The Terminal Man,Warner Bros.,Science Fiction,107.0,6.1,8.0
Thieves Like Us,Jerry Bick,Drama,123.0,6.2,13.0
The Adventure of Sherlock Holmes' Smarter Brother,Twentieth Century Fox Film Corporation,Comedy,91.0,6.1,47.0
The Adventures of the Wilderness Family,[],Drama,105.0,5.0,9.0
Dolemite,Comedian Intl Enterprise Productions (C.I.E.),Action,90.0,5.5,17.0
"Farewell, My Lovely",ITC Entertainment,Crime,95.0,6.8,26.0
The Fortune,Columbia Pictures Corporation,Comedy,88.0,5.3,10.0
French Connection II,Twentieth Century Fox Film Corporation,Action,119.0,6.6,95.0
The Great Waldo Pepper,Universal Studios,Action,108.0,6.0,17.0
Night Moves,Warner Bros.,Thriller,100.0,6.6,45.0
Supervixens,[],Comedy,106.0,6.4,35.0
Trilogy of Terror,ABC Circle Films,Horror,72.0,6.6,32.0
From Noon Till Three,United Artists,Comedy,99.0,5.5,15.0
Futureworld,American International Pictures (AIP),Action,104.0,5.7,66.0
Harlan County U.S.A.,Cabin Creek Films,Documentary,103.0,7.7,19.0
Hollywood Boulevard,New World Pictures,Comedy,83.0,6.3,6.0
The Message,Filmco International Productions,Adventure,177.0,7.4,81.0
The Missouri Breaks,United Artists,Drama,126.0,6.2,41.0
Silver Streak,Twentieth Century Fox Film Corporation,Comedy,114.0,6.8,101.0
Up!,[],Comedy,80.0,5.6,27.0
ABBA - The Movie,Polar Music International,Documentary,95.0,6.6,16.0
Demon Seed,Metro-Goldwyn-Mayer (MGM),Horror,94.0,5.9,57.0
High Anxiety,Twentieth Century Fox Film Corporation,Comedy,94.0,6.5,86.0
The Hound of the Baskervilles,[],Drama,85.0,5.3,6.0
"New York, New York",United Artists,Drama,155.0,6.1,70.0
Providence,Citel Films,Drama,110.0,7.1,13.0
Sorcerer,Paramount Pictures,Action,121.0,7.5,104.0
The Turning Point,Twentieth Century Fox Film Corporation,Drama,119.0,6.0,16.0
The Rutles: All You Need Is Cash,[],Comedy,76.0,6.5,28.0
Brass Target,Metro-Goldwyn-Mayer (MGM),Action,111.0,6.6,5.0
Capricorn One,Associated General Films,Drama,123.0,6.4,134.0
Gates of Heaven,Gates of Heaven,Documentary,85.0,6.6,28.0
Harper Valley P.T.A.,[],Comedy,93.0,7.0,8.0
The Hobbit,Rankin/Bass Productions,Adventure,77.0,6.0,76.0
In Praise Of Older Women,[],Drama,110.0,7.3,3.0
Parts: The Clonus Horror,Clonus Associates,Horror,90.0,4.1,10.0
A Wedding,"[{'name': ""Lion's Gate Films"", 'id': 18203}]",Comedy,125.0,6.5,10.0
Best Boy,[],Documentary,111.0,5.0,1.0
Hair,United Artists,Drama,121.0,7.3,146.0
The In-Laws,Warner Bros.,Action,103.0,6.7,26.0
Love at First Bite,Melvin Simon Productions,Romance,96.0,5.8,30.0
Opening Night,Faces Distribution,Drama,144.0,7.5,28.0
Quintet,Lions Gate Films,Drama,118.0,5.6,18.0
Rockers,Rockers Film Corporation,Drama,100.0,6.4,12.0
Starting Over,Paramount Pictures,Comedy,105.0,6.9,5.0
Defiance,Necta,Thriller,103.0,6.2,3.0
The Hitch Hikers Guide to the Galaxy,[],Adventure,150.0,7.2,41.0
Genocide,[],Documentary,90.0,0.0,0.0
Treasure of the Yankee Zephyr,Pact Productions,Action,108.0,5.4,8.0
Smiley's People,[],[],360.0,8.0,12.0
The Scarlet Pimpernel,Edgar J. Scherick Associates,Action,142.0,6.6,12.0
Bad Boys,EMI Films,Crime,104.0,6.7,68.0
Blue Thunder,Columbia Pictures Corporation,Science Fiction,109.0,5.9,117.0
D.C. Cab,[],Adventure,100.0,5.4,18.0
The Day After,ABC Circle Films,TV Movie,127.0,6.7,97.0
Deal of the Century,Warner Bros.,Comedy,99.0,4.8,13.0
Doctor Detroit,Euro Video,Comedy,89.0,4.7,20.0
Eddie Murphy: Delirious,HBO,Comedy,69.0,7.7,104.0
Lianna,[],Drama,110.0,5.9,10.0
The Pirates of Penzance,[],Comedy,112.0,5.5,4.0
Rock & Rule,Nelvana Limited,Action,77.0,6.3,27.0
Rumble Fish,Universal Pictures,Action,94.0,6.8,141.0
Star 80,Warner Bros.,Drama,103.0,6.1,19.0
The Star Chamber,Twentieth Century Fox Film Corporation,Action,109.0,5.6,39.0
Strange Invaders,EMI Films,Horror,92.0,5.2,18.0
Stroker Ace,Universal Pictures,Action,96.0,4.9,14.0
To Be or Not to Be,Twentieth Century Fox Film Corporation,Comedy,107.0,7.0,49.0
Twilight Zone: The Movie,Warner Bros.,Drama,101.0,6.2,164.0
Suburbia,New World Pictures,Drama,94.0,6.6,18.0
Yellowbeard,Hemdale Film Corporation,Comedy,96.0,5.7,44.0
Another Country,Eastern Counties Newspapers Ltd.,Drama,90.0,5.9,24.0
Choose Me,[],Comedy,106.0,6.0,3.0
A Christmas Carol,Entertainment Partners Ltd.,Drama,100.0,7.1,42.0
Cloak & Dagger,Universal Pictures,Adventure,101.0,6.2,40.0
Comfort and Joy,[],Comedy,106.0,6.5,13.0
Electric Dreams,Virgin,Music,92.0,6.4,37.0
The Ewok Adventure,Lucasfilm,Adventure,96.0,5.9,46.0
The Hit,Zenith Entertainment,Drama,98.0,6.5,41.0
The Ice Pirates,JF Productions,Action,91.0,5.7,50.0
Irreconcilable Differences,Lantana,Comedy,113.0,5.0,14.0
The Last Polka,[],[],54.0,5.0,1.0
Next of Kin,[],Drama,70.0,5.1,6.0
Racing with the Moon,Paramount Pictures,Drama,108.0,5.8,15.0
"Silent Night, Deadly Night",TriStar Pictures,Thriller,79.0,5.6,65.0
The Times of Harvey Milk,UCLA School of Film and Television,Documentary,90.0,7.1,26.0
Anne of Green Gables,Sullivan Entertainment,Drama,199.0,8.2,71.0
Barbarian Queen,Rodeo Productions,Adventure,70.0,4.6,9.0
Beer,[],Comedy,82.0,6.0,1.0
Bliss,New South Wales Film Corp.,Comedy,112.0,5.2,5.0
Creator,[],Comedy,107.0,6.2,18.0
Death of a Salesman,Roxbury Productions,Drama,130.0,5.9,33.0
Ewoks: The Battle for Endor,Lucasfilm,Adventure,100.0,5.4,43.0
Heaven Help Us,Silver Screen Partners,Comedy,104.0,6.9,18.0
Mishima: A Life in Four Chapters,Lucasfilm,Drama,121.0,7.7,37.0
9 Deaths of the Ninja,Crown International Pictures,Action,94.0,6.1,9.0
The Quiet Earth,Cinepro,Drama,91.0,6.7,160.0
Spies Like Us,Warner Bros.,Comedy,102.0,5.9,180.0
The Stuff,New World Pictures,Horror,93.0,5.8,91.0
Target,CBS Productions,Drama,117.0,6.3,20.0
Tuntematon sotilas,Arctic-Filmi,Drama,198.0,6.4,13.0
Vision Quest,The Guber-Peters Company,Drama,105.0,6.4,31.0
White Nights,Columbia Pictures,Drama,136.0,6.2,30.0
’Round Midnight,PECF,Drama,133.0,6.7,20.0
The Best of Times,Universal Pictures,Comedy,104.0,6.0,20.0
Club Paradise,Warner Bros.,Comedy,96.0,4.3,20.0
Dead End Drive-In,New South Wales Film Corp.,Action,87.0,6.4,24.0
Nobody's Fool,[],Comedy,107.0,6.0,2.0
The Park is Mine,[],TV Movie,102.0,5.0,16.0
Sherman's March,[],Documentary,157.0,6.3,10.0
Solarbabies,Brooksfilms,Science Fiction,94.0,5.1,12.0
G.I. Joe: The Movie,Sunbow Productions,Animation,93.0,6.6,14.0
Hell Comes to Frogtown,New World Pictures,Action,88.0,5.7,29.0
Malone,Orion Pictures,Action,92.0,6.8,15.0
Ofelas,Filmkameratene A/S,Adventure,86.0,7.3,24.0
Prince of Darkness,Universal Pictures,Horror,101.0,6.6,192.0
Street Smart,Golan-Globus Productions,Thriller,97.0,5.7,16.0
Weeds,De Laurentiis Entertainment Group (DEG),Drama,115.0,4.7,3.0
The Whales of August,Nelson Entertainment,Drama,90.0,7.1,17.0
The Bourne Identity,Warner Bros. Television,Action,180.0,6.1,28.0
Cannibal Women in the Avocado Jungle of Death,Beyond Infinity,Horror,90.0,4.4,12.0
Comic Book Confidential,[],Documentary,90.0,6.8,6.0
Dominick and Eugene,Orion Pictures,Drama,111.0,6.1,16.0
Jack's Back,[],Horror,97.0,5.8,13.0
Killer Klowns from Outer Space,Chiodo Brothers Productions,Comedy,88.0,5.8,161.0
Moonwalker,Ultimate Productions,Fantasy,93.0,6.0,126.0
Pascali's Island,Channel Four Films,Drama,104.0,6.0,2.0
Prison,Empire Pictures,Crime,102.0,6.7,27.0
Split Decisions,New Century Entertainment Corporation,Drama,95.0,5.3,6.0
Tales from the Gimli Hospital,Extra Large Productions,Fantasy,68.0,7.4,6.0
A World Apart,Atlantic Releasing Corporation,Drama,113.0,5.4,7.0
Common Threads: Stories from the Quilt,New Yorker Films,History,79.0,10.0,2.0
Monsieur Hire,[],Crime,81.0,7.2,29.0
Moon 44,Centropolis Film Productions,Science Fiction,98.0,5.0,32.0
Speaking Parts,[],Drama,93.0,5.8,6.0
Prime Suspect,Granada Television,Crime,206.0,7.5,19.0
Almost an Angel,Paramount Pictures,Fantasy,95.0,5.6,23.0
Black Rainbow,Goldcrest Films International,Mystery,103.0,6.6,8.0
Cry-Baby,Imagine Entertainment,Comedy,85.0,6.4,289.0
Downtown,Twentieth Century Fox Film Corporation,Action,96.0,5.9,9.0
Frankenhooker,Levins-Henenlotter,Comedy,85.0,5.7,65.0
The Garden,Zweites Deutsches Fernsehen (ZDF),Drama,92.0,7.1,8.0
Ghost Dad,Universal Pictures,Comedy,84.0,4.5,51.0
Hard to Kill,Warner Bros.,Action,96.0,5.6,141.0
Havana,Universal Pictures,Drama,144.0,5.5,20.0
Håkon Håkonsen,Walt Disney Pictures,Adventure,92.0,6.1,14.0
I Hired a Contract Killer,[],Comedy,79.0,7.0,31.0
The Krays,Fugitive Features,Drama,119.0,5.6,34.0
Lionheart,Universal Pictures,Action,105.0,5.9,179.0
Narrow Margin,Universal Pictures,Action,97.0,5.6,30.0
Nuns on the Run,HandMade Films,Comedy,89.0,5.5,41.0
The Reflecting Skin,BBC Films,Drama,95.0,6.7,41.0
Riff-Raff,Parallax Pictures,Comedy,95.0,6.4,22.0
State of Grace,Orion Pictures,Drama,134.0,6.5,73.0
"Welcome Home, Roxy Carmichael",Incorporated Television Company,Drama,95.0,6.2,27.0
35 Up,[],Documentary,123.0,7.7,8.0
Across the Tracks,Desert Productions,Drama,100.0,5.5,17.0
Begotten,Theatre Of Material,Fantasy,78.0,5.0,64.0
Cadence,Republic Pictures,Drama,97.0,6.4,21.0
Closet Land,Imagine Entertainment,Drama,94.0,6.6,11.0
Delusion,Cineville,Crime,100.0,4.8,3.0
Dollman,Full Moon Entertainment,Action,82.0,5.5,16.0
Dutch,Twentieth Century Fox Film Corporation,Comedy,107.0,6.4,66.0
Guilty by Suspicion,Warner Bros.,Drama,100.0,5.9,29.0
Hearts of Darkness: A Filmmaker's Apocalypse,American Zoetrope,Documentary,96.0,8.0,61.0
High Strung,Film Brigade,Comedy,93.0,5.4,10.0
Homicide,Cinehaus,Drama,102.0,5.9,32.0
A Kiss Before Dying,Universal Pictures,Mystery,95.0,5.6,17.0
Light Sleeper,Fine Line Features,Drama,103.0,5.7,15.0
The Linguini Incident,Isolar,Comedy,98.0,8.0,2.0
Mannequin Two: On the Move,Gladden Entertainment,Fantasy,95.0,4.6,28.0
Once Around,Universal Pictures,Comedy,115.0,5.8,15.0
Other People's Money,Warner Bros.,Comedy,103.0,6.1,34.0
Out for Justice,Warner Bros.,Action,91.0,5.9,113.0
Prospero's Books,Allarts,Drama,120.0,6.5,27.0
Quigley Down Under,Pathe,Romance,119.0,6.5,120.0
Rubin and Ed,Working Title Films,Drama,82.0,7.0,6.0
Shout,Universal Pictures,Drama,89.0,5.0,6.0
Stone Cold,Stone Group Pictures,Action,92.0,5.6,35.0
Strangers in Good Company,First Run Features,Drama,101.0,7.0,4.0
Surviving Desire,American Playhouse,Comedy,53.0,7.2,6.0
Wild Hearts Can't Be Broken,Walt Disney Pictures,Drama,88.0,7.4,25.0
Prime Suspect 2,WGBH,Drama,203.0,7.2,14.0
Aileen Wuornos: The Selling of a Serial Killer,[],Documentary,87.0,7.1,17.0
Barbarian Queen II: The Empress Strikes Back,Triana Films,Action,80.0,3.2,3.0
Captain America,Jadran Film,Action,97.0,4.5,87.0
Citizen Cohn,HBO Films,Drama,107.0,7.3,3.0
Crossing The Bridge,Touchstone Pictures,Drama,103.0,6.5,7.0
Diggstown,Metro-Goldwyn-Mayer (MGM),Action,98.0,6.5,31.0
Innocent Blood,Warner Bros.,Comedy,112.0,6.2,57.0
Johnny Suede,Vega Film,Comedy,97.0,4.8,14.0
LadyBugs,Paramount Pictures,Comedy,90.0,5.3,35.0
The Mambo Kings,Regency Enterprises,Drama,104.0,5.9,32.0
Night and the City,Penta Films,Thriller,105.0,5.2,16.0
Shining Through,Twentieth Century Fox Film Corporation,Drama,132.0,6.2,34.0
Sidekicks,Vision PDG,Action,101.0,4.9,41.0
Visions of Light,[],Documentary,92.0,7.0,12.0
Return to Lonesome Dove,[],Drama,340.0,6.4,10.0
American Ninja 5,Cannon Group,Action,102.0,4.1,24.0
The Baby of Mâcon,Cine Electra,Drama,122.0,7.3,21.0
Bad Boy Bubby,Australian Film Finance Corporation,Crime,114.0,7.1,72.0
Barbarians at the Gate,HBO Films,Comedy,107.0,6.8,12.0
